term,coef,se,ci_low,ci_high,percent_diff,percent_low,percent_high
company_location_DZ,-0.46455230443841294,0.4740743342995957,-1.3937379996656205,0.4646333907887947,-37.15836185533209,-75.18540008199548,59.14306487932082
company_location_EC,-0.6238068885928678,0.47407222481512223,-1.5529884492305075,0.30537467204477176,-46.409956383699424,-78.83853716355782,35.71333877029086
company_location_EE,-0.21528577816133254,0.41810042277223736,-1.0347626067949176,0.6041910504722526,-19.368901882084266,-64.46892807356726,82.97714172997883
company_location_EG,0.1581142782393406,0.4148538399174938,-0.6549992479989473,0.9712278044776284,17.130004116609896,-48.055754679182705,164.1185328542798
company_location_ES,-0.1931513004625558,0.411643340000092,-0.9999722468627361,0.6136696459376245,-17.56427609284733,-63.21103488782518,84.71975374614094
company_location_FI,-0.016567773483209286,0.4134711990224556,-0.8269713235672222,0.7938357766008037,-1.6431282746208642,-56.262805954679976,121.186439294174
company_location_FR,-0.040711468617078306,0.4114123119874518,-0.8470796001124838,0.7656566628783272,-3.989388926906612,-57.13350211020458,115.04060029180043
company_location_GB,0.17186559095760778,0.41106241758937684,-0.6338167475175708,0.9775479294327863,18.75182093013621,-46.94370930762442,165.79308108792557
company_location_GH,-0.9463889941883443,0.5024433764099,-1.9311780119517483,0.03840002357505967,-61.18599279962026,-85.50226871565398,3.914683297917687
company_location_GI,0.01985239517848611,0.5799755044744541,-1.1168995935914439,1.1566043839484161,2.00507645031629,-67.27070356032921,217.91198569801975
company_location_GR,-0.2311028649267294,0.4172639963474079,-1.048940297767649,0.5867345679141901,-20.63421777175619,-64.96912245209134,79.81072212897122
company_location_GT,-0.9395969374824995,0.5026172367676172,-1.9247267215470292,0.04553284658203016,-60.92146854679095,-85.40843729950348,4.658538080193764
company_location_HK,0.5034220148615745,0.44991585182187044,-0.37841305470929154,1.3852570844324403,65.43728838279968,-31.505247857240303,299.5853044392211
company_location_HN,-0.25841327565845146,0.4740188764111583,-1.1874902734243218,0.6706637221074188,-22.772399672704047,-69.50142648365336,95.55348216912239
company_location_HR,-0.35959742135782735,0.44353887523069013,-1.22893361680998,0.5097387740943253,-30.20427477973071,-70.73955601750134,66.48562345592084
company_location_HU,-0.8405220113034733,0.43307986861702064,-1.6893585537928337,0.008314531185887208,-56.851477553455965,-81.53620786895017,0.8349192899007596
company_location_ID,0.030340560591995278,0.4437269909021649,-0.8393643415762478,0.9000454627602384,3.080552592324848,-56.801496890276745,145.97149340453433
company_location_IE,0.36786922588971005,0.41233500422559954,-0.44030738239246503,1.1760458341718851,44.46531033959331,-35.61615139503752,224.15312758899603
company_location_IL,0.5497516665969717,0.4226826753356125,-0.2787063770608288,1.3782097102547723,73.28226466871408,-24.32379266994498,296.7791768125921
company_location_IN,-0.4032137826347487,0.41181869553558914,-1.2103784258845034,0.40395086061500596,-33.18307589270169,-70.19155447901883,49.773034760167214
company_location_IQ,1.0848675362633207,0.5793711810154297,-0.05069997852692154,2.220435051053563,195.9047826245592,-4.943618268806538,821.1337396335409
company_location_IT,0.11499920096693989,0.41385576053767614,-0.6961580896869053,0.9261564916207852,12.187254115833056,-50.1503190442961,152.47864669854806
company_location_JM,-0.2341024169011319,0.4591328007859663,-1.1340027064416258,0.6657978726393621,-20.871922877903128,-67.82571665590054,94.6042596218008
company_location_JO,0.334149841745418,0.4436599852313422,-0.5354237293080126,1.2037234127988488,39.67524197154497,-41.45788225282255,233.2502131894649
company_location_JP,0.26171167966589026,0.4165987572410299,-0.5548218845265284,1.078245243858309,29.915191651121418,-42.58254785441571,193.9516887470531
company_location_KE,-0.08608217667476806,0.4428439775921531,-0.9540563727553881,0.7818920194058521,-8.24811705243823,-61.48245648448659,118.5603560370474
company_location_KR,0.28047271976722066,0.42730037894291834,-0.5570360229608993,1.1179814624953406,32.375542981355146,-42.7095374039142,205.86739198028096
company_location_LB,0.5741057911018277,0.42765910823342734,-0.2641060610356899,1.4123176432393452,77.55421112771992,-23.21079080929995,310.5459376576702
company_location_LS,0.14705556017566185,0.5026116004017459,-0.8380631766117601,1.132174296963084,15.841832316743364,-56.74525192745992,210.23946994202086
company_location_LT,-0.2249825428835729,0.41158016913514256,-1.0316796743884522,0.5817145886213065,-20.14698413283481,-64.35921915479209,78.91033787322566
company_location_LU,0.24638697862719267,0.44348341020332516,-0.6228405053713246,1.1156144626257098,27.93945761145553,-46.35814283286616,205.14426006753447
company_location_LV,-0.4374494908990292,0.41274761940820076,-1.2464348249391026,0.37153584314104426,-35.431886162190175,-71.24719404116829,44.995981628422776
company_location_MD,-1.0871574564760227,0.5802143795359256,-2.224377640366437,0.05006272741439144,-66.28264366648202,-89.18653036328081,5.133704196200051
company_location_MK,-0.23541941025183988,0.4357353266051042,-1.0894606503978441,0.6186218298941644,-20.976065436745785,-66.3602119150003,85.63678873595795
company_location_ML,-0.04140772994047416,0.5026172367676172,-1.026537514005004,0.9437220541240555,-4.056214135428715,-64.17547653134903,156.95275623364333
company_location_MT,0.2737279869012531,0.42282353561076136,-0.5550061428958392,1.1024621166983453,31.485709523755023,-42.593126525883726,201.15717444114688
company_location_MU,0.8962852985476054,0.5816330414142987,-0.24371546262442012,2.036286059719631,145.048336895437,-21.628940250270258,666.2099709635055
company_location_MX,-0.11578091400350493,0.41293823858250406,-0.9251398616252129,0.6935780336182029,-10.932966467850147,-60.35240365755779,100.08618917775362
company_location_MY,-0.43179144070979597,0.45916935265087033,-1.3317633719055018,0.4681804904859099,-35.06552105477528,-73.5988699520545,59.70856354370153
company_location_NG,-0.1381066385698381,0.4381769371984713,-0.9969334354788417,0.7207201583391656,-12.899419602007999,-63.09907012810777,105.59132607240294
company_location_NL,0.12543956224577618,0.4114065097823256,-0.680917196927582,0.9317963214191345,13.364665183231672,-49.384746215258026,153.9066062330074
company_location_NO,0.14662027031010572,0.4270001966988426,-0.6903001152196258,0.9835406558398372,15.791418514233113,-49.85744389600669,167.3906885347337
company_location_NZ,0.5118359765848819,0.4136291295826764,-0.2988771173971638,1.3225490705669276,66.83514389954013,-25.834946021554785,275.2975794781963
company_location_OM,-0.5109299785117237,0.5799095955856678,-1.6475527858596326,0.625692828836185,-40.00626095805796,-80.74795285780868,86.95407805982369
company_location_PA,0.09605651772682902,0.5026173194606529,-0.8890734284160507,1.0811864638697088,10.082127815214715,-58.89635689607628,194.81753803882378
company_location_PE,-0.2761307781519538,0.4330689023676203,-1.1249458267924897,0.572684270488582,-24.12862989028447,-67.53299446997741,77.30199346540807
company_location_PH,-0.7221054038534253,0.41453537801787277,-1.534594744768456,0.09038393706160541,-51.42714760525677,-78.4456976589517,9.459445841974157
company_location_PK,-0.38318043047925776,0.5028210704367433,-1.3687097285352747,0.6023488675767591,-31.831010944459592,-74.55649618786084,82.64037465772648
company_location_PL,-0.05402159494805542,0.4122340772058544,-0.86200038627153,0.7539571963754192,-5.258835302441566,-57.76835592155054,112.53939987693333
company_location_PR,0.5246764322698393,0.42770285691642324,-0.31362116728635026,1.3629740318260288,68.99119589292518,-26.92041749082086,290.7797952421797
company_location_PT,-0.30312438854351587,0.41329136678496614,-1.1131754674420495,0.5069266903550178,-26.14927711816032,-67.14858828640038,66.01810959352154
company_location_QA,1.617641021651865,0.5799094300162309,0.4810185388200525,2.754263504483678,404.118423453201,61.772127526732405,1470.9466689368094
company_location_RO,-0.32005839347010334,0.427439111857445,-1.1578390527106954,0.5177222657704889,-27.389336405040954,-68.5835659534926,67.82007976766032
company_location_RS,0.05408688493702485,0.4499066920022833,-0.8277302313874504,0.9359040012615001,5.557631185230694,-56.295985861437984,154.95171830465188
company_location_RU,-0.2951517337802169,0.43934059877522214,-1.1562593073796523,0.5659558398192184,-25.55813745560537,-68.53389676648598,76.11303369704478
company_location_SA,0.7802211593278526,0.47312032018717953,-0.1470946682390193,1.7075369868947246,118.1954771791585,-13.678774523594772,451.5360329824563
company_location_SE,0.3491067750084141,0.42603815860767347,-0.48592801586262585,1.184141565879454,41.780056792774076,-38.48739149595295,226.78803570555323
company_location_SG,0.4280180604039282,0.4157322737260029,-0.38681719609903753,1.2428533169068938,53.42137892381136,-32.078475322472634,246.54875052696758
company_location_SI,-0.22079039506009424,0.4329937015844077,-1.0694580501655333,0.6278772600453448,-19.811525832057765,-65.68055387905054,87.36291275568074
company_location_SK,-0.6342459098722042,0.4118840496193901,-1.4415386471262088,0.17304682738180044,-46.96647418500247,-76.34365092211472,18.892177787453978
company_location_SV,-0.6754384750765703,0.45911393938460426,-1.5753017962703946,0.2244248461172541,-49.10667828548093,-79.30549119999121,25.16026450149125
company_location_TH,-0.998959638381746,0.45884232810650666,-1.898290601470499,-0.09962867529299291,-63.17376320211802,-85.01754897520455,-9.482653108676365
company_location_TR,-0.3137733848491324,0.418299133961099,-1.1336396874128865,0.5060929177146216,-26.931540640168727,-67.81403465854521,65.87974592586802
company_location_TW,-0.8903312624107597,0.4228459510724545,-1.7191093265127706,-0.061553198308748835,-58.948025953318094,-82.07742915704885,-5.969707811630764
company_location_UA,0.12252778595346486,0.4210817120822275,-0.702792369727701,0.9478479416346308,13.035052750482246,-50.47994117594692,158.01510445900863
company_location_US,0.726163851835333,0.41102978335610924,-0.07945452354264104,1.531782227213307,106.71355399812023,-7.63799780199067,362.64148015031594
company_location_VE,1.0498104283330996,0.5026132704323177,0.06468841828575678,2.0349324383804426,185.7109439722348,6.682656894221273,665.1735144396017
company_location_VN,0.026329781914787402,0.4591082777571744,-0.8735224424892744,0.9261820063188492,2.6679472973215157,-58.25215874475603,152.48508869716866
company_location_XK,-0.4301764023924334,0.5026172367676174,-1.4153061864569634,0.5549533816720966,-34.960564651668015,-75.71487556981513,74.18597802908822
company_location_ZA,-0.16226817500578786,0.4138655415614047,-0.973444636466141,0.6489082864545653,-14.978683195650577,-62.22205187247067,91.3450748236363
company_location_ZM,0.008087728754122836,0.5791037845987147,-1.126955689059358,1.1431311465676035,0.812052278243991,-67.59818314723469,213.65740787723877
